image,mode,gt,size,anchor,x,y,stride,inside_gt,inside_fixed,before_conflict,after_conflict,iou,rank_ciou,class_score,alignment,target_weight
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,2983,668.0,236.0,8.0,1,1,1,1,0.7839764952659607,0.7834210991859436,0.18663612008094788,0.09987790137529373,0.7917647361755371
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,3082,660.0,244.0,8.0,1,1,1,1,0.7220489978790283,0.7154231667518616,0.1639409065246582,0.054290223866701126,0.4303763508796692
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,3083,668.0,244.0,8.0,1,1,1,1,0.7947796583175659,0.7917647361755371,0.12490928918123245,0.08707115054130554,0.6902413964271545
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,3182,660.0,252.0,8.0,0,0,1,1,0.44557449221611023,0.4067995250225067,0.011482958681881428,0.0004856345185544342,0.0038497834466397762
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,3183,668.0,252.0,8.0,0,0,1,1,0.5081161260604858,0.47157570719718933,0.003922380041331053,0.0006887845229357481,0.005460219923406839
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,10691,664.0,216.0,16.0,0,0,1,1,0.08022851496934891,0.0,0.0023002787493169308,0.0,0.0
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,10741,664.0,232.0,16.0,1,1,1,1,0.7766176462173462,0.7764437794685364,0.17680224776268005,0.0921306163072586,0.7303494811058044
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,10791,664.0,248.0,16.0,0,0,1,1,0.6510752439498901,0.6431087851524353,0.040674492716789246,0.014268152415752411,0.1131083071231842
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2677,620.0,212.0,8.0,0,0,1,1,0.27336499094963074,0.18868213891983032,0.03121851570904255,7.972433195391204e-06,0.0004349463270045817
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2678,628.0,212.0,8.0,0,0,1,1,0.23794545233249664,0.17172718048095703,0.15218113362789154,1.000494376057759e-05,0.0005458325031213462
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2679,636.0,212.0,8.0,0,0,1,1,0.18182536959648132,0.08134444802999496,0.0028682821430265903,1.5515952966893565e-08,8.464927532259026e-07
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2777,620.0,220.0,8.0,1,1,1,1,0.5394687652587891,0.5331541299819946,0.02575041353702545,0.0036856047809123993,0.20107288658618927
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2778,628.0,220.0,8.0,1,1,1,1,0.41370639204978943,0.3999454081058502,0.14688780903816223,0.0015685457037761807,0.08557402342557907
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2779,636.0,220.0,8.0,0,0,1,1,0.46015235781669617,0.436308354139328,0.005075394641608,0.0004914689343422651,0.02681271731853485
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2877,620.0,228.0,8.0,1,1,1,1,0.443916916847229,0.4172374904155731,0.010145795531570911,0.0005314262816682458,0.02899264171719551
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2878,628.0,228.0,8.0,1,1,1,1,0.6664491891860962,0.6644591093063354,0.02002754993736744,0.012179331853985786,0.6644590497016907
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,2879,636.0,228.0,8.0,0,0,1,1,0.4494742453098297,0.414307177066803,0.002076238626614213,0.00023044823319651186,0.012572399340569973
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,10688,616.0,216.0,16.0,0,0,1,1,0.4890367388725281,0.47248220443725586,0.00023939200036693364,0.0001721343578537926,0.009391010738909245
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,10689,632.0,216.0,16.0,1,1,1,1,0.2738208472728729,0.2066495418548584,0.022815188392996788,1.1763017027988099e-05,0.0006417464464902878
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,10738,616.0,232.0,16.0,0,0,1,1,0.1491895616054535,0.03594464063644409,0.003763237502425909,1.3230787299089997e-10,7.218225572813708e-09
images/train/0000084_01436_d_0000004.jpg,adaptive,19,small,10739,632.0,232.0,16.0,0,0,1,1,0.44170647859573364,0.39905256032943726,0.004644243512302637,0.0002751934516709298,0.015013531781733036
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3631,252.0,292.0,8.0,1,1,1,1,0.9194216728210449,0.9188535213470459,0.09270189702510834,0.18324072659015656,0.8108456134796143
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3632,260.0,292.0,8.0,1,1,1,1,0.7755500078201294,0.7743414044380188,0.5356060862541199,0.15776754915714264,0.698125958442688
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3731,252.0,300.0,8.0,1,1,1,1,0.8335260152816772,0.8328667283058167,0.3465978801250458,0.19650156795978546,0.8695251941680908
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3732,260.0,300.0,8.0,1,1,1,1,0.7907431125640869,0.7897483110427856,0.7324801087379456,0.2076491415500641,0.9188535213470459
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3733,268.0,300.0,8.0,0,0,1,1,0.7150367498397827,0.7123697400093079,0.02154066413640976,0.019180605188012123,0.08487473428249359
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3831,252.0,308.0,8.0,1,1,1,1,0.7958734035491943,0.7942075729370117,0.40539583563804626,0.1597878485918045,0.7070659399032593
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3832,260.0,308.0,8.0,1,1,1,1,0.774643063545227,0.7730523347854614,0.6776744723320007,0.17569683492183685,0.7774636149406433
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3833,268.0,308.0,8.0,0,0,1,1,0.6927171349525452,0.6894724369049072,0.0381193608045578,0.02097366191446781,0.09280907362699509
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3931,252.0,316.0,8.0,1,1,1,1,0.7754415273666382,0.7729082703590393,0.29240286350250244,0.11528120934963226,0.5101227164268494
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3932,260.0,316.0,8.0,1,1,1,1,0.750805139541626,0.7485734820365906,0.6776710748672485,0.14484921097755432,0.6409620046615601
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,3933,268.0,316.0,8.0,0,0,1,1,0.6526315808296204,0.6476935744285583,0.02483096532523632,0.011633605696260929,0.051479045301675797
