image,gt,fixed_count,adaptive_count,delta_count,fixed_weight,adaptive_weight,delta_weight
images/train/0000112_01120_d_0000074.jpg,22,3,4,1,1.2644259929656982,1.3036274909973145,0.03920149803161621
images/train/0000112_01120_d_0000074.jpg,23,3,3,0,0.6941537261009216,0.6941537261009216,0.0
images/train/0000112_01120_d_0000074.jpg,24,2,5,3,0.5923611521720886,0.5933372378349304,0.0009760856628417969
images/train/0000112_01120_d_0000074.jpg,25,1,1,0,0.44436371326446533,0.44436371326446533,0.0
images/train/0000112_01120_d_0000074.jpg,26,0,0,0,0.0,0.0,0.0
images/train/0000112_01120_d_0000074.jpg,27,3,5,2,0.7842981815338135,0.7842981815338135,0.0
images/train/0000112_01120_d_0000074.jpg,28,1,2,1,0.31283465027809143,0.31283465027809143,0.0
images/train/0000112_01120_d_0000074.jpg,29,3,4,1,0.9216028451919556,0.9511157274246216,0.029512882232666016
images/train/0000112_01120_d_0000074.jpg,30,1,3,2,0.3211430609226227,0.3220728635787964,0.0009298026561737061
images/train/0000112_01120_d_0000074.jpg,31,1,1,0,0.34197866916656494,0.34197866916656494,0.0
images/train/0000112_01120_d_0000074.jpg,32,2,2,0,0.39709484577178955,0.39709484577178955,0.0
images/train/0000112_01120_d_0000074.jpg,33,2,2,0,0.6622626781463623,0.6622626781463623,0.0
images/train/0000112_01120_d_0000074.jpg,34,10,13,3,2.0985515117645264,2.13319993019104,0.03464841842651367
images/train/0000112_01120_d_0000074.jpg,36,2,9,7,0.3192253112792969,0.3276039659976959,0.008378654718399048
images/train/0000112_01120_d_0000074.jpg,37,4,5,1,1.1131809949874878,1.1447690725326538,0.031588077545166016
images/train/0000112_01120_d_0000074.jpg,38,4,4,0,0.5627040266990662,0.5627040266990662,0.0
images/train/0000112_01120_d_0000074.jpg,39,3,5,2,0.6233217716217041,0.6233217716217041,0.0
images/train/0000112_01120_d_0000074.jpg,40,6,10,4,1.8892345428466797,1.8892388343811035,4.291534423828125e-06
images/train/0000112_01120_d_0000074.jpg,41,6,7,1,0.714299738407135,0.714299738407135,0.0
images/train/0000112_01120_d_0000074.jpg,42,4,5,1,0.9180080890655518,0.9180080890655518,0.0
images/train/0000112_01120_d_0000074.jpg,43,5,10,5,0.8528793454170227,0.853918731212616,0.0010393857955932617
images/train/0000112_01120_d_0000074.jpg,44,6,10,4,0.6917164325714111,0.6917164325714111,0.0
images/train/0000122_01200_d_0000119.jpg,0,8,13,5,5.878429412841797,5.880984783172607,0.002555370330810547
images/train/0000122_01200_d_0000119.jpg,1,4,13,9,2.06705904006958,3.5524637699127197,1.4854047298431396
images/train/0000122_01200_d_0000119.jpg,2,6,11,5,4.504462718963623,4.818480968475342,0.31401824951171875
images/train/0000122_01200_d_0000119.jpg,3,5,12,7,3.294257164001465,3.331475257873535,0.03721809387207031
images/train/0000122_01200_d_0000119.jpg,4,3,8,5,2.1709117889404297,3.059201240539551,0.8882894515991211
images/train/0000122_01200_d_0000119.jpg,5,5,13,8,3.3636698722839355,4.062735080718994,0.6990652084350586
images/train/0000122_01200_d_0000119.jpg,6,3,7,4,2.0076587200164795,2.2078146934509277,0.20015597343444824
images/train/0000122_01200_d_0000119.jpg,7,6,13,7,3.9132349491119385,5.311570644378662,1.3983356952667236
images/train/0000122_01200_d_0000119.jpg,8,4,11,7,3.1472432613372803,3.2935690879821777,0.14632582664489746
images/train/0000122_01200_d_0000119.jpg,9,5,11,6,2.9356985092163086,3.8172709941864014,0.8815724849700928
images/train/0000122_01200_d_0000119.jpg,10,8,13,5,4.719954967498779,5.801955223083496,1.0820002555847168
images/train/0000122_01200_d_0000119.jpg,11,9,13,4,5.252627372741699,5.256210803985596,0.0035834312438964844
images/train/0000122_01200_d_0000119.jpg,12,8,13,5,5.090948104858398,5.674063682556152,0.5831155776977539
images/train/0000122_01200_d_0000119.jpg,13,8,13,5,4.396258354187012,4.810986042022705,0.41472768783569336
images/train/0000122_01200_d_0000119.jpg,14,7,13,6,5.537600040435791,5.603625774383545,0.0660257339477539
images/train/0000122_01200_d_0000119.jpg,15,8,13,5,4.909786701202393,5.557372093200684,0.647585391998291
images/train/0000122_01200_d_0000119.jpg,16,9,13,4,6.383077621459961,6.388153076171875,0.0050754547119140625
images/train/0000122_01200_d_0000119.jpg,17,10,13,3,4.8022918701171875,4.805245876312256,0.0029540061950683594
images/train/0000122_01200_d_0000119.jpg,18,8,11,3,4.993130683898926,5.011377334594727,0.01824665069580078
images/train/0000122_01200_d_0000119.jpg,19,9,13,4,6.190038681030273,6.193427562713623,0.0033888816833496094
images/train/0000122_01200_d_0000119.jpg,21,8,13,5,2.809375762939453,2.9148476123809814,0.10547184944152832
images/train/0000122_01200_d_0000119.jpg,22,7,13,6,4.407552719116211,4.6164069175720215,0.20885419845581055
images/train/0000122_01200_d_0000119.jpg,23,8,13,5,4.250329971313477,4.273833274841309,0.02350330352783203
images/train/0000122_01200_d_0000119.jpg,24,8,13,5,4.107470512390137,4.324399948120117,0.21692943572998047
images/train/0000122_01200_d_0000119.jpg,25,7,13,6,5.286076068878174,5.8642778396606445,0.5782017707824707
images/train/0000122_01200_d_0000119.jpg,26,6,13,7,3.9308266639709473,4.094757556915283,0.16393089294433594
images/train/0000122_01200_d_0000119.jpg,27,10,13,3,6.28017520904541,6.3099799156188965,0.029804706573486328
images/train/0000122_01200_d_0000119.jpg,28,8,13,5,5.600571155548096,5.602879524230957,0.002308368682861328
images/train/0000122_01200_d_0000119.jpg,29,5,11,6,4.323904514312744,5.603663921356201,1.279759407043457
images/train/0000122_01200_d_0000119.jpg,30,8,12,4,6.117275714874268,6.149122714996338,0.03184700012207031
images/train/0000122_01200_d_0000119.jpg,31,3,10,7,0.8333020210266113,0.8344545364379883,0.0011525154113769531
images/train/0000122_01200_d_0000119.jpg,32,7,13,6,4.155783653259277,5.24915075302124,1.093367099761963
images/train/0000122_01200_d_0000119.jpg,33,10,13,3,0.7331695556640625,0.7336915135383606,0.0005219578742980957
images/train/0000122_01200_d_0000119.jpg,34,4,13,9,3.1620612144470215,5.675788879394531,2.5137276649475098
images/train/0000122_01200_d_0000119.jpg,35,10,13,3,7.905381679534912,7.9337921142578125,0.02841043472290039
images/train/0000122_01200_d_0000119.jpg,36,10,13,3,3.184265375137329,3.238049268722534,0.05378389358520508
images/train/0000122_01200_d_0000119.jpg,37,10,13,3,4.926577091217041,4.958534240722656,0.031957149505615234
images/train/0000122_01200_d_0000119.jpg,38,8,10,2,5.581845760345459,5.592538356781006,0.010692596435546875
images/train/0000122_01200_d_0000119.jpg,39,10,11,1,5.901369094848633,5.901369094848633,0.0
images/train/0000122_01200_d_0000119.jpg,40,9,13,4,4.78767204284668,5.201467037200928,0.41379499435424805
images/train/0000122_01200_d_0000119.jpg,41,8,13,5,5.922547340393066,6.065764427185059,0.1432170867919922
images/train/0000122_01200_d_0000119.jpg,42,8,13,5,6.193045139312744,6.2715744972229,0.07852935791015625
images/train/0000122_01200_d_0000119.jpg,43,9,13,4,6.706608295440674,6.728775501251221,0.022167205810546875
images/train/0000122_01200_d_0000119.jpg,44,8,13,5,6.565107822418213,6.62157678604126,0.056468963623046875
images/train/0000122_01200_d_0000119.jpg,45,9,13,4,6.400354862213135,6.654170513153076,0.2538156509399414
images/train/0000122_01200_d_0000119.jpg,46,6,13,7,3.5913217067718506,4.0279107093811035,0.43658900260925293
images/train/0000122_01200_d_0000119.jpg,47,8,12,4,6.064795970916748,6.080893516540527,0.016097545623779297
images/train/0000122_01200_d_0000119.jpg,48,7,11,4,4.278642177581787,4.351550579071045,0.07290840148925781
images/train/0000122_01200_d_0000119.jpg,49,8,11,3,4.969576835632324,4.969579219818115,2.384185791015625e-06
images/train/0000122_01200_d_0000119.jpg,50,4,6,2,0.6949871182441711,0.7134950160980225,0.01850789785385132
images/train/0000122_01200_d_0000119.jpg,51,9,13,4,5.4332275390625,5.434764385223389,0.0015368461608886719
images/train/0000122_01200_d_0000119.jpg,52,5,9,4,4.0296807289123535,4.3018975257873535,0.272216796875
images/train/0000122_01200_d_0000119.jpg,53,6,11,5,4.092991828918457,4.160719394683838,0.06772756576538086
images/train/0000122_01200_d_0000119.jpg,54,4,4,0,2.9568395614624023,2.9568395614624023,0.0
images/train/0000122_01200_d_0000119.jpg,55,7,8,1,3.87294340133667,3.8847477436065674,0.011804342269897461
images/train/0000122_01200_d_0000119.jpg,56,7,13,6,4.303183555603027,4.337617874145508,0.03443431854248047
images/train/0000122_01200_d_0000119.jpg,57,4,6,2,2.7245562076568604,2.739366054534912,0.014809846878051758
images/train/0000122_01200_d_0000119.jpg,58,4,9,5,3.5403237342834473,4.806455135345459,1.2661314010620117
images/train/0000122_01200_d_0000119.jpg,59,6,12,6,2.6754684448242188,2.749741554260254,0.07427310943603516
images/train/0000122_01200_d_0000119.jpg,60,4,5,1,1.9608323574066162,2.0256094932556152,0.06477713584899902
images/train/0000122_01200_d_0000119.jpg,61,7,10,3,3.8588104248046875,4.2181243896484375,0.35931396484375
images/train/0000122_01200_d_0000119.jpg,62,6,12,6,3.7051093578338623,5.083293914794922,1.3781845569610596
images/train/0000122_01200_d_0000119.jpg,63,5,10,5,3.7941739559173584,3.930026054382324,0.13585209846496582
images/train/0000122_01200_d_0000119.jpg,64,7,13,6,4.804502010345459,5.293802261352539,0.4893002510070801
images/train/0000122_01200_d_0000119.jpg,65,8,13,5,4.67952823638916,4.849392414093018,0.16986417770385742
images/train/0000122_01200_d_0000119.jpg,66,6,11,5,4.083601951599121,4.1164960861206055,0.032894134521484375
images/train/0000122_01200_d_0000119.jpg,67,8,10,2,3.238103151321411,3.2899487018585205,0.051845550537109375
images/train/0000122_01200_d_0000119.jpg,68,6,10,4,3.952336311340332,4.002923488616943,0.05058717727661133
images/train/0000122_01200_d_0000119.jpg,69,8,12,4,4.900882720947266,4.917840957641602,0.016958236694335938
images/train/0000122_01200_d_0000119.jpg,70,8,12,4,4.775478363037109,4.835765838623047,0.0602874755859375
images/train/0000122_01200_d_0000119.jpg,71,10,13,3,6.9161553382873535,6.9868035316467285,0.070648193359375
images/train/0000122_01200_d_0000119.jpg,72,7,12,5,3.6809792518615723,4.619251251220703,0.9382719993591309
images/train/0000122_01200_d_0000119.jpg,73,7,11,4,5.132673740386963,5.14369535446167,0.011021614074707031
images/train/0000122_01200_d_0000119.jpg,74,10,11,1,6.564486026763916,6.564513683319092,2.765655517578125e-05
images/train/0000122_01200_d_0000119.jpg,75,7,13,6,5.072767734527588,5.57910680770874,0.5063390731811523
images/train/0000122_01200_d_0000119.jpg,76,5,9,4,3.0056872367858887,3.512983560562134,0.5072963237762451
images/train/0000122_01200_d_0000119.jpg,77,6,8,2,1.3532689809799194,1.3533120155334473,4.303455352783203e-05
images/train/0000122_01200_d_0000119.jpg,78,6,13,7,4.224274158477783,4.283347129821777,0.05907297134399414
images/train/0000122_01200_d_0000119.jpg,79,8,13,5,4.340969562530518,4.427584648132324,0.08661508560180664
images/train/0000122_01200_d_0000119.jpg,80,4,7,3,2.694756269454956,3.3608498573303223,0.6660935878753662
images/train/0000122_01200_d_0000119.jpg,81,9,12,3,5.240156650543213,5.683143615722656,0.44298696517944336
images/train/0000122_01200_d_0000119.jpg,82,10,13,3,7.1035661697387695,7.16712760925293,0.06356143951416016
images/train/0000122_01200_d_0000119.jpg,83,9,12,3,3.145949363708496,3.1567280292510986,0.010778665542602539
images/train/0000122_01200_d_0000119.jpg,84,4,9,5,1.1204346418380737,1.1575549840927124,0.03712034225463867
images/train/0000122_01200_d_0000119.jpg,85,6,11,5,3.7837421894073486,4.03033447265625,0.24659228324890137
images/train/0000122_01200_d_0000119.jpg,86,5,7,2,2.1602420806884766,2.2228169441223145,0.06257486343383789
images/train/0000123_01819_d_0000120.jpg,0,9,13,4,4.1465349197387695,5.375152587890625,1.2286176681518555
images/train/0000123_01819_d_0000120.jpg,1,10,13,3,5.98672342300415,7.2538743019104,1.26715087890625
images/train/0000123_01819_d_0000120.jpg,2,10,13,3,7.479254722595215,7.48622465133667,0.006969928741455078
images/train/0000123_01819_d_0000120.jpg,3,10,13,3,6.636571884155273,6.6560893058776855,0.01951742172241211
images/train/0000123_01819_d_0000120.jpg,4,8,13,5,6.461784362792969,6.544464588165283,0.08268022537231445
images/train/0000123_01819_d_0000120.jpg,5,5,13,8,3.669207811355591,3.8759584426879883,0.20675063133239746
images/train/0000123_01819_d_0000120.jpg,6,4,13,9,2.7412896156311035,2.894474506378174,0.1531848907470703
images/train/0000123_01819_d_0000120.jpg,7,6,12,6,4.041373252868652,4.142226219177246,0.10085296630859375
