phase,assigner_call,sample_index,gt_index,area_px,area_bin,positive_count
train,1,2,68,75.18838500976562,small,5
train,1,2,69,62.57344436645508,small,0
train,1,2,70,75.71565246582031,small,4
train,1,3,0,6960.86279296875,medium,10
train,1,3,1,5352.6142578125,medium,10
train,1,3,2,454.4983215332031,small,6
train,1,3,3,2038.40966796875,medium,10
train,1,3,4,1741.8265380859375,medium,10
train,1,3,5,1612.8095703125,medium,10
train,1,3,6,1185.3941650390625,medium,3
train,1,3,7,786.2389526367188,small,3
train,1,3,8,759.7937622070312,small,10
train,1,3,9,687.2059326171875,small,10
train,1,3,10,722.17724609375,small,10
train,1,3,11,3306.21435546875,medium,10
train,1,3,12,663.0401000976562,small,10
train,1,3,13,483.8389587402344,small,9
train,1,3,14,1053.6783447265625,medium,4
train,1,3,15,1980.133544921875,medium,10
train,1,3,16,817.1419677734375,small,10
train,1,3,17,852.9899291992188,small,10
train,1,3,18,943.9224853515625,small,10
train,1,3,19,806.3845825195312,small,10
train,1,3,20,649.5839233398438,small,10
train,1,3,21,745.4649658203125,small,10
train,1,3,22,636.5972290039062,small,9
train,1,3,23,803.7100830078125,small,10
train,1,3,24,1689.819091796875,medium,10
train,2,0,0,2070.78125,medium,10
train,2,0,1,2379.474365234375,medium,10
train,2,0,2,2767.846923828125,medium,10
train,2,0,3,1965.6427001953125,medium,7
train,2,0,4,1818.9288330078125,medium,10
train,2,0,5,2018.2169189453125,medium,10
train,2,0,6,1682.4112548828125,medium,9
train,2,0,7,1068.4747314453125,medium,9
train,2,0,8,1098.9964599609375,medium,6
train,2,0,9,1180.4093017578125,medium,10
train,2,0,10,914.1473999023438,small,6
train,2,0,11,763.1914672851562,small,6
train,2,0,12,789.481689453125,small,10
train,2,0,13,801.35498046875,small,7
train,2,0,14,676.6941528320312,small,5
train,2,0,15,729.2784423828125,small,7
train,2,0,16,625.8065185546875,small,10
train,2,0,17,308.6614990234375,small,4
train,2,0,18,2761.035888671875,medium,10
train,2,0,19,1845.2432861328125,medium,6
train,2,0,20,2808.5458984375,medium,9
train,2,0,21,2136.956298828125,medium,6
train,2,0,22,2287.85986328125,medium,10
train,2,0,23,1524.688720703125,medium,10
train,2,0,24,1007.420654296875,small,7
train,2,0,25,1020.9932250976562,small,10
train,2,0,26,837.8154907226562,small,6
train,2,0,27,915.8244018554688,small,6
train,2,0,28,705.541748046875,small,8
train,2,0,29,1007.4193725585938,small,10
train,2,0,30,953.9850463867188,small,5
train,2,0,31,1182.9410400390625,medium,10
train,2,0,32,457.91961669921875,small,4
train,2,0,33,634.2822875976562,small,9
train,2,0,34,564.76171875,small,10
train,2,0,35,485.0487365722656,small,10
train,2,0,36,259.4817810058594,small,2
train,2,0,37,71.22933959960938,small,0
train,2,0,38,457.9108581542969,small,8
train,2,0,39,457.9180908203125,small,10
train,2,0,40,1093.917236328125,medium,10
train,2,0,41,427.3892822265625,small,9
train,2,0,42,585.111328125,small,10
train,2,0,43,749.6151733398438,small,10
train,2,0,44,610.5563354492188,small,10
train,2,0,45,617.331298828125,small,10
train,2,0,46,664.8364868164062,small,10
train,2,0,47,190.79991149902344,small,5
train,2,0,48,165.35792541503906,small,3
train,2,0,49,143.31381225585938,small,2
train,2,0,50,38.15781784057617,small,1
train,2,0,51,88.18743896484375,small,0
train,2,0,52,115.31993103027344,small,2
train,2,0,53,186.55157470703125,small,1
train,2,0,54,209.4576873779297,small,4
train,2,0,55,169.60459899902344,small,1
train,2,0,56,154.33074951171875,small,3
train,2,0,57,83.10810852050781,small,4
train,2,0,58,71.23102569580078,small,0
train,2,0,59,77.17121887207031,small,0
train,2,0,60,102.60277557373047,small,4
train,2,0,61,50.880313873291016,small,1
train,2,0,62,81.40283203125,small,2
train,2,0,63,65.2978515625,small,3
train,2,0,64,71.23338317871094,small,2
train,2,0,65,99.21388244628906,small,2
train,2,0,66,115.31993103027344,small,2
train,2,0,67,59.36430740356445,small,2
train,2,0,68,50.8804817199707,small,1
train,2,0,69,45.792213439941406,small,3
train,2,0,70,23.74551010131836,small,0
train,2,0,71,33.91771697998047,small,5
train,2,0,72,99.21559143066406,small,2
train,2,0,73,30.530391693115234,small,0
train,2,0,74,167.8965301513672,small,2
train,2,0,75,84.80455017089844,small,2
train,2,0,76,40.70377731323242,small,2
train,2,0,77,463.0039367675781,small,8
train,2,0,78,74.61851501464844,small,2
train,2,0,79,65.29723358154297,small,1
train,2,1,0,2077.282470703125,medium,10
train,2,1,1,2437.15966796875,medium,10
train,2,1,2,1800.8253173828125,medium,10
train,2,1,3,2131.836181640625,medium,10
train,2,1,4,2656.1708984375,medium,10
train,2,1,5,11303.84765625,large,10
train,2,1,6,1191.88916015625,medium,10
train,2,1,7,736.178466796875,small,10
train,2,1,8,863.8442993164062,small,10
train,2,1,9,782.227294921875,small,10
train,2,1,10,662.5526123046875,small,10
train,2,1,11,689.4190063476562,small,10
train,2,1,12,1201.8841552734375,medium,10
train,2,1,13,400.7987365722656,small,8
train,2,1,14,308.6568908691406,small,8
train,2,1,15,286.4626770019531,small,5
train,2,1,16,210.32949829101562,small,5
train,2,1,17,187.29432678222656,small,4
train,2,1,18,155.24766540527344,small,2
train,2,1,19,165.59976196289062,small,3
train,2,1,20,117.18862915039062,small,2
train,2,1,21,125.86309814453125,small,2
train,2,1,22,99.82447814941406,small,4
train,2,1,23,77.11681365966797,small,1
train,2,1,24,1646.60400390625,medium,10
train,2,1,25,1283.0250244140625,medium,10
train,2,1,26,1063.3338623046875,medium,5
train,2,1,27,1307.0638427734375,medium,10
train,2,1,28,822.634033203125,small,6
train,2,1,29,590.0861206054688,small,5
train,2,1,30,2591.598388671875,medium,10
train,2,1,31,384.60418701171875,small,7
train,2,1,32,330.1833801269531,small,6
train,2,1,33,392.6156005859375,small,8
train,2,1,34,280.4425964355469,small,6
train,2,1,35,201.82614135742188,small,2
train,2,1,36,253.228271484375,small,4
train,2,1,37,260.0733337402344,small,5
train,2,1,38,165.59815979003906,small,3
